property_type,price_bucket_global,rows
apartment,standard_200k_500k,152
apartment,unknown,83
apartment,comfort_500k_1m,81
apartment,budget_under_200k,22
apartment,premium_1m_3m,14
guest_house,unknown,59
guest_house,standard_200k_500k,42
guest_house,budget_under_200k,30
guest_house,premium_1m_3m,12
guest_house,comfort_500k_1m,9
hotel,standard_200k_500k,164
hotel,unknown,154
hotel,budget_under_200k,104
hotel,comfort_500k_1m,50
hotel,premium_1m_3m,15
vacation_rental,unknown,158
vacation_rental,premium_1m_3m,31
vacation_rental,comfort_500k_1m,29
vacation_rental,standard_200k_500k,28
vacation_rental,luxury_above_3m,16
vacation_rental,budget_under_200k,7
villa,unknown,159
villa,luxury_above_3m,66
villa,premium_1m_3m,65
villa,comfort_500k_1m,31
villa,standard_200k_500k,15
villa,budget_under_200k,6
