target_penginapan_id,hotel_review_count_analyzed,hotel_sentiment_score,hotel_sentiment_confidence_mean,proba_positif,proba_negatif,proba_netral,negative_review_count,neutral_review_count,positive_review_count,hotel_adjusted_sentiment_score,hotel_sentiment_label,hotel_adjusted_sentiment_label,hotel_review_confidence_label,hotel_sentiment_model_source
LODGE-00010,17,0.9089957126624107,0.9396049390965421,0.9396049390965421,0.030609226434131324,0.029785834469326634,0,0,17,0.6436113924808117,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00037,15,0.463365097971942,0.8001084323224311,0.6896884889867667,0.22632339101482485,0.08398811999840826,2,0,13,0.5326078869312697,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00054,29,0.8945703077358501,0.936967356826371,0.9241298222960334,0.02955951456018318,0.046310663143783515,0,0,29,0.6786275329783931,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00070,16,0.13461439250020849,0.7695811884095226,0.5349830924994688,0.4003686999992604,0.06464820750127083,5,0,11,0.451861613044799,Netral,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00079,23,0.8707140603687632,0.9610214379384824,0.9225554648072077,0.05184140443844446,0.02560313075434785,1,0,22,0.6533624598552733,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00080,20,0.6781535749423743,0.8778815147393166,0.813060804753867,0.13490722981149283,0.052031965434640025,3,0,17,0.5890301097114412,Sangat Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00081,19,0.2138403122406599,0.8558294808149775,0.5689674178707976,0.35512710563013766,0.07590547649906473,7,0,12,0.45988408860182517,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00085,18,0.940046829792275,0.9554723878173488,0.9554723878173488,0.01542555802507379,0.02910205415757744,0,0,18,0.6557335164296229,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00093,12,0.6690349245720779,0.8520526632556624,0.7997870078714314,0.1307520832993536,0.06946090882921493,1,0,11,0.5757654076744892,Sangat Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00114,18,-0.23544558685117067,0.8583841555592103,0.3511145858159781,0.5865601726671488,0.062325241516873256,12,0,6,0.34457375908282833,Negatif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00139,17,0.5310739840969814,0.8986248000069033,0.7111431723897567,0.1800691882927754,0.10878763931746788,3,1,13,0.547720804635852,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00222,19,0.6685036322962069,0.903733887398453,0.8120225688008924,0.1435189365046855,0.04445849469442213,2,0,17,0.5850812347040772,Sangat Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00392,15,0.9498411231368838,0.9625949181598893,0.9625949181598893,0.012753795023005332,0.024651286817105378,0,0,15,0.6448715850462563,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00449,13,0.8627191659873669,0.9482672746089942,0.9207498776689,0.05803071168153325,0.021219410649566575,1,0,12,0.6172124656950662,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00522,17,0.8683032447576614,0.9353911532172025,0.9025940909734935,0.034290846215832185,0.06311506281067424,0,1,16,0.6332864379378156,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00524,24,0.8581726424883737,0.944363221131498,0.9083179156333906,0.050145273145016926,0.041536811221592536,1,0,23,0.6522321567658698,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00569,19,0.9672550495430698,0.9783821465284246,0.9783821465284246,0.011127096985354716,0.010490756486220663,0,0,19,0.6673461177140829,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00584,27,0.7747070221783111,0.8882990581152306,0.8327846228343648,0.05807760065605388,0.10913777650958119,1,0,26,0.6309886464904909,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00770,21,0.533291581467702,0.8082940032038719,0.7174972102816115,0.18420562881390953,0.09829716090447908,3,0,18,0.5474388646728893,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00774,7,0.5704623217640007,0.8678124005702342,0.7620052877804188,0.19154296601641801,0.046451746203163176,1,0,6,0.5554784637421298,Positif,Positif,low_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00778,18,0.0037423146490839897,0.8290050330683361,0.4652047134630549,0.46146239881397094,0.07333288772297422,9,0,9,0.40788820359760164,Netral,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00824,22,0.7361773376010373,0.852024792324094,0.8340895254300523,0.09791218782901491,0.06799828674093283,1,0,21,0.609235244558003,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00866,14,0.9424800716398802,0.9580922611713755,0.9580922611713755,0.015612189531495211,0.026295549297129277,0,0,14,0.6384962059986207,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00884,20,0.8001176349394374,0.9216726866720999,0.8744335953399662,0.0743159604005289,0.05125044425950483,1,0,19,0.6238769839963164,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00886,26,0.6575372086732512,0.9043757114868706,0.7946505525931069,0.13711334391985583,0.06823610348703721,4,0,22,0.5890132053481306,Sangat Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00889,29,0.9653410039867455,0.9750231829021188,0.9750231829021188,0.0096821789153732,0.015294638182508,0,0,29,0.7046066493236585,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00890,18,-0.45028984989312665,0.8646524641869271,0.23304213324260598,0.6833319831357326,0.08362588362166136,14,0,4,0.28770321886584,Negatif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00895,17,0.7439941957587533,0.9469359846763533,0.8606166930623078,0.11662249730355463,0.02276080963413753,2,0,15,0.601745335953018,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00897,24,0.2598729279018295,0.7665098766151285,0.5652342566647309,0.3053613287629015,0.1294044145723676,8,0,16,0.45818900608915275,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00901,24,0.6816993698243531,0.8951469191995378,0.8071019502069544,0.12540258038260135,0.06749546941044411,3,0,21,0.594997581847809,Sangat Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00906,25,0.9446259096568852,0.9614314621807715,0.9614314621807715,0.016805552523886425,0.021762985295342013,0,0,25,0.6837957856316738,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00907,18,0.6015964667491599,0.8583632818950725,0.7686393900964141,0.1670429233472543,0.06431768655633147,3,0,15,0.5661437144476217,Sangat Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00908,26,0.8082016340651822,0.9426516034297172,0.8892521935046076,0.08105055943942538,0.029697247055967012,2,0,24,0.6405562982453702,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00909,17,0.7490913022268986,0.8911839330293418,0.8473691936001333,0.09827789137323466,0.05435291502663197,2,0,15,0.6030386316240399,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00912,22,0.9246120563872361,0.9471499243227864,0.9471499243227864,0.022537867935550272,0.030312207741663308,0,0,22,0.666812519742675,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00913,15,0.44750980274861907,0.8413939346499155,0.6967263273387574,0.2492165245901384,0.05405714807110413,3,0,12,0.5289489726489645,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00915,21,0.9572010968204924,0.9655850611086888,0.9655850611086888,0.008383964288196398,0.02603097460311486,0,0,21,0.672820552312447,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00937,15,0.475953817739699,0.8331346390150889,0.6799987447222728,0.20404492698257376,0.11595632829515345,3,0,12,0.5355129761084444,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00950,15,0.754403572155509,0.90555965412953,0.8499131278664065,0.09550955571089746,0.05457731642269602,2,0,13,0.5997706117428621,Sangat Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00956,22,0.883630231884804,0.9211569872572835,0.9211569872572835,0.03752675537247942,0.04131625737023716,0,0,22,0.654290295589154,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-00993,25,-0.4597676844769468,0.8863115651499471,0.24365025030317328,0.70341793478012,0.052931814916706586,19,0,6,0.21566458758706303,Negatif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01000,23,0.0020094616134326477,0.8704144805293308,0.4596837376817204,0.4576742760682877,0.08264198624999189,12,0,11,0.37966101093236093,Netral,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01013,17,0.6626136232468535,0.8927835446386386,0.7562513454851376,0.09363772223828416,0.1501109322765782,1,1,15,0.5810965339723867,Sangat Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01086,25,0.766735986067028,0.9433746521530817,0.8654658163730192,0.09872983030599142,0.035804353320989246,2,0,23,0.6244991444350546,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01087,20,0.5242424158238254,0.9222883703546882,0.7431304790912788,0.21888806326745355,0.03798145764126754,5,0,15,0.5450554928204272,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01094,15,0.8573151434923086,0.9125682025170007,0.9125682025170007,0.055253059024692,0.03217873845830742,0,0,15,0.6235194358975081,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01133,16,0.34536506639899167,0.8188218601091573,0.6459335620199785,0.3005684956209869,0.05349794235903453,4,0,12,0.5029526855051101,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01183,23,-0.6553391590812835,0.8357859811807846,0.1192650878586279,0.7746042469399114,0.10613066520146067,19,1,3,0.1725511715353956,Sangat Negatif,Netral,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01189,7,0.9770960680585683,0.9818034834757723,0.9818034834757723,0.004707415417204003,0.013489101107023574,0,0,7,0.6054159413572523,Sangat Positif,Sangat Positif,low_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01194,14,0.881017345848299,0.9509503930858336,0.8960812784525952,0.015063932604296223,0.08885478894310848,0,1,13,0.6250512347317123,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01234,20,0.42920142860495114,0.8721921460445697,0.6785617732064396,0.24936034460148843,0.07207788219207192,6,0,14,0.517900925043606,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01267,20,-0.4539560664997507,0.8604279096339793,0.23683106099045048,0.6907871274902011,0.07238181151934837,15,0,5,0.26557021215654836,Negatif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01272,18,0.3469213108833285,0.8184194177618167,0.626041924532931,0.2791206136496024,0.09483746181746669,5,0,13,0.498729702600784,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01280,3,0.6205806691857966,0.7223432151237468,0.7223432151237468,0.10176254593795035,0.1758942389383027,0,0,3,0.557184494122845,Sangat Positif,Positif,low_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01289,26,0.7905748575330555,0.929086047839075,0.8759236067398102,0.08534874920675482,0.03872764405343497,2,0,24,0.6345260852212216,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01319,8,0.6583628344183401,0.9364811906623566,0.8126596863967834,0.1542968519784433,0.03304346162477314,1,0,7,0.5678610147637951,Sangat Positif,Positif,low_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01355,14,0.6336436063088483,0.9066340152893293,0.7913261871461775,0.15768258083732928,0.0509912320164932,2,0,12,0.5709382292074574,Sangat Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01359,13,0.2672966426028499,0.8726536895878827,0.5935464455267956,0.32624980292394573,0.08020375154925857,5,0,8,0.4943475005522293,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01383,21,0.5246021855967216,0.8901249495601528,0.7343185659668116,0.20971638037008994,0.05596505366309847,5,0,16,0.5448687616687964,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01433,19,0.8703034000085994,0.9719659670502802,0.9268219547897935,0.05651855478119411,0.01665949042901239,1,0,18,0.640649286682852,Sangat Positif,Sangat Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01442,23,-0.3634535181214704,0.8178488138442228,0.2545005490281908,0.6179540671496612,0.12754538382214792,16,0,7,0.26451514060492576,Negatif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01556,14,0.3859913656651056,0.8380731609756257,0.6501849511447941,0.2641935854796885,0.08562146337551736,4,0,10,0.5167643015666387,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01576,19,0.5048610806068241,0.7995463313490158,0.7051725126055469,0.2003114319987229,0.09451605539573016,4,0,15,0.5400202422098993,Positif,Positif,medium_review_confidence,tfidf_svm_penginapan_exact_v1
LODGE-01610,9,0.8388631588344903,0.8856629987404037,0.8856629987404037,0.0467998399059133,0.06753716135368307,0,0,9,0.5969288917027765,Sangat Positif,Positif,low_review_confidence,tfidf_svm_penginapan_exact_v1
