location_name,review_count,kekurangan
curug nyalangkadar,1,99
Cadas Pangeran Sumedang,2,98
Kampung toga villa pancing,2,98
Dairyland Farm Theme Park Puncak,2,98
Southland Camp,4,96
Cikole Jayagiri Resort,4,96
Farm House Susu Lembang,6,94
Curug Ngebul Cianjur Selatan,6,94
TOKO GOBERZ AUDIO MOBIL 97,6,94
Punclut Puncak,7,93
Kawasan Konservasi Taman Buru G. Masigit Kareumbi,7,93
Kebun Teh Malabar,7,93
Taman Endog,7,93
Taman Alun-Alun Kota Cimahi,8,92
Monumen Perjuangan Rakyat Jawa Barat,8,92
Taman Sejarah Bandung,8,92
Taman Maluku,8,92
Rumah Adat Cikondang,9,91
Museum Mandala Wangsit Siliwangi,9,91
Museum Barli,9,91
Gunung Artapela,9,91
Curug Cinulang,9,91
Ciwangun Indah Camp,9,91
Wisata keindahan alam hutan cimanggu,9,91
Taman Vanda,9,91
Tepi Danau,9,91
Cimahi Mall,9,91
Cimahi Techno Park,10,90
Danau Biru Situ Cilembang,10,90
Nuansa Riung gunung Pangalengan,10,90
Museum Pendidikan Nasional Universitas Pendidikan Indonesia,10,90
Curug Maribaya,10,90
Bukit senyum,10,90
Wisata Ilmu Sutera Bandung,10,90
Wot Batu,10,90
Curug Walanda,10,90
Taman Pramuka,10,90
Sarae Hills,11,89
Rumah Guguk Petshop,11,89
Taman Panatayuda,11,89
Noah's Park | Wisata Lembang Bandung,11,89
Gedung Indonesia Menggugat,11,89
MiniMania Lembang,11,89
Sanghyang Tikoro,11,89
Nu Art Studio,11,89
Masjid Jami' Al Baakhirah,11,89
Curug Panyandaan,11,89
Cicalengka Dreamland,11,89
Taman Kartini,12,88
The Great Asia Africa,12,88
Teras Sunda Cibiru,12,88
Gunung Putri Lembang,12,88
Alam Wisata Cimahi,12,88
Palalangon Park,12,88
Curug Tilu Leuwi Opat,12,88
Curug Dago,12,88
Peta Park,12,88
Pine Forest Camp,12,88
KAWAH CIBUNI Rengganis,12,88
Kampung Karuhun ECO Green Park Sumedang,12,88
wisata hutan pinus pal 16 cikole lembang,12,88
Puncak Bukit Kujang Gunung Bohong,13,87
Pemandian Cipanas Cileungsing,13,87
Kampung Wisata Pangjugjugan,13,87
Curug Aseupan,13,87
Coffee House Gunung Tilu,13,87
Geger Bintang Matahari Gunung Putri,13,87
Ecopark Curugtilu,13,87
Kampung Buricak Burinong,13,87
Orchid Forest Cikole,13,87
Monumen Bandung Lautan Api,14,86
Kampung Cireundeu,14,86
Tahura Gunung Kunci,14,86
Taman Rusa,14,86
Taman Love Soreang,14,86
Taman Kupu-Kupu Cihanjuang,14,86
Wisata Air GAJAH DEPA,14,86
Wisata Batu Kuda,14,86
Terminal Wisata Grafika Cikole,14,86
Wisata Kampoeng Ciherang,14,86
Pesona Nirwana Waterpark & Cottages / Resort,14,86
Curug Cipanas,14,86
CURUG BATU TEMPLEK CISANGGARUNG,14,86
Gn. Bohong,14,86
Imah Seniman,14,86
Floating Market Lembang,14,86
Fairy Garden Edutainment Park by The Lodge,14,86
Jans Park (Jatinangor National Park),14,86
Kampung Buyut Cipageran (Kabuci) Asih Putera,14,86
Barusen Hills,14,86
Sanghyang Heuleut,15,85
Panenjoan Jatigede,15,85
De' Ranch,15,85
Gunung Batu Lembang,15,85
Bendungan Jatigede,15,85
Inggit Garnasih Historic House,15,85
D’Dieuland,15,85
D'Riam Riverside,15,85
Curug Ceret (Naringgul),15,85
Glamping Legok Kondang Lodge,15,85
Hutan Pinus Rahong,15,85
Taman EcoWisata Cimenteng,15,85
Wisata Tanjung Duriat,15,85
Curug Cilengkrang,15,85
Dago Dreampark,15,85
Kawah Wayang,16,84
Indiana Camp,16,84
Taman Wisata Bougenville,16,84
Wahoo Waterworld Bandung,16,84
Kampung Singkur,16,84
Stone Garden Citatah,16,84
TOGA HILL,16,84
Guha Pawon,16,84
Gn. Tangkuban Parahu,16,84
Sanghyang Kenit,16,84
Victory Waterpark,17,83
Puncak Mega (Gn Puntang),17,83
Situ Ciseupan Cibeber,17,83
Cakrawala Resto,17,83
Air Terjun Anom,17,83
Curug Layung & Camping Ground,17,83
Bosscha,17,83
Cikahuripan,17,83
Curug Gorobog,17,83
Curug Pelangi,17,83
Gunung Nini,17,83
Dago Bakery punclut,17,83
Hutan Mycelia Wahana Edukasi & Interaktif,17,83
Tebing Karaton,17,83
Taman Lembah DEWATA,17,83
Taman Dewi Sartika,17,83
Sanghyang Poek Bandung purba,18,82
Pandiga Educreation Sports,18,82
Sudut Pandang Bandung,18,82
Palayangan River,18,82
Panama Park 825,18,82
Jendela Alam,18,82
Gn. Hawu,18,82
Curug Bugbrug,18,82
Tafso Barn,19,81
Rengganis Suspension Bridge,19,81
Kolam Renang Karang Setra,19,81
Mata Air Cikandung,19,81
MUARA RAHONG HILL'S,19,81
Museum Kota Bandung,19,81
Hutan Kota Babakan Siliwangi Bandung,20,80
Venus Cimahi,20,80
Puncak Eurad,20,80
Masjid Raya Al-Jabbar,20,80
Curug Malela,20,80
Nimo Resort Ciwidey,21,79
The Lodge Maribaya,21,79
Bird Pavilion,21,79
Situ Datar Buana,21,79
Pemandian Air Panas Cibolang,22,78
Hejo Forest,22,78
The Nice Park Bandung,23,77
Puncak Permata,23,77
Gantolle Paralayang Singajaya Cihampelas,23,77
Gunung Puntang,30,70
Taman musik,31,69
Vihara Satya Budhi,43,57
Masjid Agung SUMEDANG,58,42
Bumi Perkemahan Ranca Upas Bandung,67,33
Punclut cafe lereng,68,32
Bandung Carnival Land,88,12
Sunrise Point Cukul,94,6
